                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0655,                 1.4495,                 1.0587,                0.71545,                0.66925,                0.65845,                0.47888,                 1.1254,                0.95735,                 1.0002,               0.070012,              0.0033319,              0.0033319
                      1,                0.95477,                0.94384,                 1.0152,                 0.8003,                0.57205,                0.69026,                0.53452,                0.98391,                0.94302,                0.97002,               0.039353,              0.0060054,              0.0060054
                      2,                0.95984,                0.91881,                 1.0224,                0.94059,                0.55598,                0.59885,                0.48869,                 1.0138,                 1.0939,                 1.0051,              0.0080327,              0.0080189,              0.0080189
                      3,                0.94144,                0.88867,                 1.0258,                0.71482,                0.57345,                0.61897,                0.50538,                0.98146,                0.96276,                0.98492,                0.00703,                0.00703,                0.00703
                      4,                0.88879,                0.80838,                 1.0051,                0.81024,                0.58601,                0.67648,                0.53539,                0.94317,                0.91451,                0.97943,                0.00703,                0.00703,                0.00703
                      5,                  0.832,                0.73382,                0.98382,                0.72025,                0.69847,                 0.7015,                0.54514,                0.91202,                0.77314,                0.95367,                0.00604,                0.00604,                0.00604
                      6,                0.78572,                0.66968,                0.96912,                0.70464,                0.59255,                0.70646,                0.56022,                0.87606,                0.80084,                0.94209,                0.00505,                0.00505,                0.00505
                      7,                0.74898,                 0.6257,                0.95456,                0.75569,                 0.6778,                0.70963,                0.56845,                0.85166,                0.71808,                 0.9403,                0.00406,                0.00406,                0.00406
                      8,                0.71187,                0.57213,                0.94094,                0.76831,                0.69446,                0.72403,                0.56999,                 0.8419,                0.70417,                0.92832,                0.00307,                0.00307,                0.00307
                      9,                0.67418,                0.53155,                0.92971,                0.82413,                0.75138,                0.78055,                0.60147,                0.79952,                0.60652,                0.91582,                0.00208,                0.00208,                0.00208
